"","Domain","Phylum","Class","Order","Family","Genus","Species","Trophic.Mode","Guild","Trait","Confidence.Ranking","Notes","Citation.Source","Genus_species"
"ASV33","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Biscogniauxia","nummularia","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Biscogniauxia_nummularia"
"ASV34","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entocybe","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Entocybe_NA"
"ASV35","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Fomes","fomentarius","Saprotroph","Wood Saprotroph","Brown Rot-White Rot","Probable","Lignicolous, causing brown or white rot, mostly of broadleaved trees (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Fomes_fomentarius"
"ASV38","Fungi","Ascomycota","Leotiomycetes","Helotiales","Vibrisseaceae","Phialocephala","oblonga","Symbiotroph","Endophyte","NULL","Highly Probable","Dark Septate Endophyte, known from plant roots.","Newsham 2011. New Phytologist 190:783-793 (as DSE)","Phialocephala_oblonga"
"ASV41","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycena","renati","Pathotroph-Saprotroph","Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph","NULL","Probable","NULL","Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Mycena_renati"
"ASV42","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Ossicaulis","lachnopus","Saprotroph","Wood Saprotroph","Brown Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Ossicaulis_lachnopus"
"ASV43","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amorosiaceae","Angustimassarina","acerina","Pathotroph-Saprotroph","Fungal Parasite-Wood Saprotroph","NULL","Highly Probable","On fungi or dead wood in terrestrial habitats (Thambugala et al. 2015)","Thambugala KM, et al. 2015. Fungal Diversity 74:199-266","Angustimassarina_acerina"
"ASV45","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium","lignicola","Saprotroph","Wood Saprotroph","Soft Rot","Probable","NULL","Nilsson T. 1973. Studies on wood degradation and cellulolytic activity of microfungi. No. 104; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Scytalidium_lignicola"
"ASV46","Fungi","Basidiomycota","Atractiellomycetes","Atractiellales","Atractiellales_fam_Incertae_sedis","Helicogloea","pellucida","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Helicogloea_pellucida"
"ASV47","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pterulaceae","Radulomyces","molaris","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Radulomyces_molaris"
"ASV48","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Aporpiaceae","Elmerina","caryae","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Elmerina_caryae"
"ASV49","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phanerochaete","livescens","Saprotroph","Wood Saprotroph","White Rot","Highly Probable","NULL","Glenn JK, et al. 1983. Biochemical and Biophysical Research Communications 114:1077-1083","Phanerochaete_livescens"
"ASV50","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulales_fam_Incertae_sedis","Gloeohypochnicium","analogum","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Gloeohypochnicium_analogum"
"ASV51","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Zignoella","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Zignoella_NA"
"ASV52","Fungi","Ascomycota","Dothideomycetes","Hysteriales","Hysteriaceae","Hysterobrevium","constrictum","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Hysterobrevium_constrictum"
"ASV53","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Fomes","fomentarius","Saprotroph","Wood Saprotroph","Brown Rot-White Rot","Probable","Lignicolous, causing brown or white rot, mostly of broadleaved trees (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Fomes_fomentarius"
"ASV54","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","Auricularia","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Auricularia_NA"
"ASV55","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Bisporella","subpallida","Saprotroph","Wood Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Bisporella_subpallida"
"ASV56","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria","NA","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","NULL","Probable","Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)","Neocucurbitaria_NA"
"ASV57","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV58","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Fomes","fomentarius","Saprotroph","Wood Saprotroph","Brown Rot-White Rot","Probable","Lignicolous, causing brown or white rot, mostly of broadleaved trees (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Fomes_fomentarius"
"ASV59","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Hyphodermataceae","Hyphoderma","roseocremeum","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Hyphoderma_roseocremeum"
"ASV60","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","tassiana","Pathotroph","Plant Pathogen","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Mycosphaerella_tassiana"
"ASV61","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Hyphodermataceae","Hyphoderma","setigerum","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Hyphoderma_setigerum"
"ASV62","Fungi","Basidiomycota","Agaricomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV63","Fungi","Basidiomycota","Agaricomycetes","Polyporales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV64","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Trametes","versicolor","Saprotroph","Wood Saprotroph","White Rot","Highly Probable","NULL","Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo","Trametes_versicolor"
"ASV65","Fungi","Ascomycota","Sordariomycetes","Sordariales","Helminthosphaeriaceae","Spadicoides","bina","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)","Spadicoides_bina"
"ASV67","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Xylodon","raduloides","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Xylodon_raduloides"
"ASV68","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Ossicaulis","lachnopus","Saprotroph","Wood Saprotroph","Brown Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Ossicaulis_lachnopus"
"ASV69","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Physciaceae","Hyperphyscia","adglutinata","Symbiotroph","Lichenized","NULL","Highly Probable","Lichenized with green algae, often on nitrogen-rich substrata (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Hyperphyscia_adglutinata"
"ASV70","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotrema","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Lophiotrema_NA"
"ASV71","Fungi","Basidiomycota","Tremellomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV72","Fungi","Basidiomycota","Agaricomycetes","Polyporales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV75","Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora","versiformis","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Peniophora_versiformis"
"ASV77","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Ossicaulis","lachnopus","Saprotroph","Wood Saprotroph","Brown Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Ossicaulis_lachnopus"
"ASV78","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Biscogniauxia","nummularia","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Biscogniauxia_nummularia"
"ASV79","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","NA","NA","Saprotroph","Plant Saprotroph-Wood Saprotroph","NULL","Probable","Saprobes associated with decaying woody and herbaceous plant material, including timber and timber products in damp buildings (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV80","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria","NA","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","NULL","Probable","Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)","Neocucurbitaria_NA"
"ASV81","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","brevicompactum","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Penicillium_brevicompactum"
"ASV82","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Exidiaceae","Exidia","glandulosa","Saprotroph-Symbiotroph","Endophyte-Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); David AS, et al. 2016. Microbial Ecology 71:912-926","Exidia_glandulosa"
"ASV83","Fungi","Basidiomycota","Tremellomycetes","Tremellales","NA","NA","NA","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","NULL","Possible","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","NA_NA"
"ASV84","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Pertusaria","NA","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Pertusaria_NA"
"ASV85","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetales_fam_Incertae_sedis","Peniophorella","pubera","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Peniophorella_pubera"
"ASV87","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Natantiella","ligneola","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Natantiella_ligneola"
"ASV89","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Barbatosphaeria","neglecta","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Barbatosphaeria_neglecta"
"ASV90","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","NA","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","NULL","Possible","NULL","Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Damm U, et al. 2010. Persoonia 24:60-80; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); Irinyi L, et al. 2015. Medical Mycology 53:313-337; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]","Coniochaeta_NA"
"ASV91","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","Auricularia","mesenterica","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Auricularia_mesenterica"
"ASV92","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Calycina","claroflava","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Calycina_claroflava"
"ASV93","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","NA","NA","Saprotroph","Wood Saprotroph-Undefined Saprotroph","NULL","Probable","Lignicolous or terrestrial (in leaf litter); typically saprobic (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV94","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","ostrea","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Stereum_ostrea"
"ASV95","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","NA","NA","Pathotroph-Saprotroph","Animal Pathogen-Fungal Parasite-Undefined Saprotroph","NULL","Probable","Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV96","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","NA","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph","NULL","Possible","NULL","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Cladosporium_NA"
"ASV98","Fungi","Ascomycota","Sordariomycetes","Pleurotheciales","Pleurotheciaceae","Phaeoisaria","sedimenticola","Saprotroph","Undefined Saprotroph-Wood Saprotroph","Soft Rot","Probable","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; Tedersoo L, et al. 2014. Science 346:1256688","Phaeoisaria_sedimenticola"
"ASV99","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Fomes","fomentarius","Saprotroph","Wood Saprotroph","Brown Rot-White Rot","Probable","Lignicolous, causing brown or white rot, mostly of broadleaved trees (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Fomes_fomentarius"
"ASV100","Fungi","Basidiomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV101","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Marchandiomyces","buckii","Pathotroph","Lichen Parasite","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]","Marchandiomyces_buckii"
"ASV103","Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV104","Fungi","Basidiomycota","Agaricomycetes","Russulales","Hericiaceae","Hericium","coralloides","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Hericium_coralloides"
"ASV105","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Xylodon","flaviporus","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Xylodon_flaviporus"
"ASV106","Fungi","Ascomycota","Sordariomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV107","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Xylodon","raduloides","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Xylodon_raduloides"
"ASV108","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Exidiaceae","Exidia","glandulosa","Saprotroph-Symbiotroph","Endophyte-Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); David AS, et al. 2016. Microbial Ecology 71:912-926","Exidia_glandulosa"
"ASV109","Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV111","Fungi","Ascomycota","Sordariomycetes","Annulatascales","Annulatascaceae","Torrentispora","calembola","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Torrentispora_calembola"
"ASV112","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","NA","Pathotroph-Saprotroph","Animal Pathogen-Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688, Nagy GL, et al. 2014. Nature Communications 5:4471","Exophiala_NA"
"ASV113","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","austrohemisphaericum","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph","NULL","Possible","NULL","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Cladosporium_austrohemisphaericum"
"ASV115","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV116","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Cadophora","melinii","Symbiotroph","Endophyte","NULL","Highly Probable","Dark Septate Endophyte, known from plant roots.","Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; Newsham 2011. New Phytologist 190:783-793 (as DSE)","Cadophora_melinii"
"ASV118","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","NA","NA","Saprotroph","Plant Saprotroph-Wood Saprotroph","NULL","Probable","Saprobic on woody tissue and rotting vegetation, often isolated from soil (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV119","Fungi","Ascomycota","Xylonomycetes","Symbiotaphrinales","Symbiotaphrinaceae","Symbiotaphrina","buchneri","Symbiotroph","Animal Endosymbiont","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Symbiotaphrina_buchneri"
"ASV120","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","NA","NA","Saprotroph","Wood Saprotroph-Undefined Saprotroph","NULL","Probable","Lignicolous or terrestrial (in leaf litter); typically saprobic (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV121","Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV122","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Massarina","eburnea","Pathotroph-Saprotroph","Plant Pathogen-Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Massarina_eburnea"
"ASV124","Fungi","Basidiomycota","Agaricomycetes","Russulales","Hericiaceae","Hericium","coralloides","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Hericium_coralloides"
"ASV126","Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV127","Fungi","Ascomycota","Eurotiomycetes","Sclerococcales","Dactylosporaceae","Dactylospora","vrijmoediae","Pathotroph","Lichen Parasite","NULL","Possible","Some species are non-lichenicolous","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Dactylospora_vrijmoediae"
"ASV128","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","NA","NA","Saprotroph","Wood Saprotroph-Undefined Saprotroph","NULL","Probable","Lignicolous or terrestrial (in leaf litter); typically saprobic (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
